ID,Label,Type,Graph Source
702,Meerkamp,Subject,Graph A
703,Meerkamp,Subject,Graph A
704,Meiners,Subject,Graph A
705,Meiners,Subject,Graph A
706,Merveldt,Subject,Graph A
707,Merveldt,Subject,Graph A
708,Franz Wolff Metternich,Subject,Graph A
709,Franz Wolff Metternich,Subject,Graph A
710,Franz Wolff Metternich,Subject,Graph A
711,Franz Wolff Metternich,Subject,Graph A
712,Franz Wolff Metternich,Subject,Graph A
713,Franz Wolff Metternich,Subject,Graph A
714,Meuren,Subject,Graph A
715,Meuren,Subject,Graph A
716,Meyer,Subject,Graph A
717,Meyer,Subject,Graph A
718,Meyer,Subject,Graph A
719,Meyer,Subject,Graph A
720,Meyer,Subject,Graph A
721,Meyer,Subject,Graph A
722,Meyer,Subject,Graph A
723,Meyer,Subject,Graph A
724,Meyer,Subject,Graph A
725,E I Meyer,Subject,Graph A
726,E I Meyer,Subject,Graph A
727,General Ministerialat Michel,Subject,Graph A
728,General Ministerialat Michel,Subject,Graph A
729,General Ministerialat Michel,Subject,Graph A
730,Aloid Miedl,Subject,Graph A
731,Aloid Miedl,Subject,Graph A
732,Aloid Miedl,Subject,Graph A
733,Aloid Miedl,Subject,Graph A
734,Franz Mittel,Subject,Graph A
735,Hans Moebius,Subject,Graph A
736,Moeckel,Subject,Graph A
737,Moeckel,Subject,Graph A
738,Moeckel,Subject,Graph A
739,Moellhausen,Subject,Graph A
740,Moellhausen,Subject,Graph A
741,Mohl,Subject,Graph A
742,Mohl,Subject,Graph A
743,Wilhelm Jacob Mohnen,Subject,Graph A
744,Wilhelm Jacob Mohnen,Subject,Graph A
745,Wilhelm Jacob Mohnen,Subject,Graph A
746,Wilhelm Jacob Mohnen,Subject,Graph A
747,Wilhelm Jacob Mohnen,Subject,Graph A
748,Wilhelm Jacob Mohnen,Subject,Graph A
749,Wilhelm Jacob Mohnen,Subject,Graph A
750,J Wolfgang Moltke,Subject,Graph A
751,Hans Georg von Mosch,Subject,Graph A
752,Hans Georg von Mosch,Subject,Graph A
753,Hans Georg von Mosch,Subject,Graph A
754,Muechow,Subject,Graph A
755,Josef Muehlmann,Subject,Graph A
756,Josef Muehlmann,Subject,Graph A
757,Josef Muehlmann,Subject,Graph A
758,Josef Muehlmann,Subject,Graph A
759,Kajetan Muehlmann,Subject,Graph A
760,Kajetan Muehlmann,Subject,Graph A
761,Kajetan Muehlmann,Subject,Graph A
762,Kajetan Muehlmann,Subject,Graph A
763,Kajetan Muehlmann,Subject,Graph A
764,Kajetan Muehlmann,Subject,Graph A
765,Kajetan Muehlmann,Subject,Graph A
766,Georg Hermann Mueller,Subject,Graph A
767,Georg Hermann Mueller,Subject,Graph A
768,Johannes Mueller,Subject,Graph A
769,Johannes Mueller,Subject,Graph A
770,Kurt Mueller,Subject,Graph A
771,Walter Mueller,Subject,Graph A
772,Walter Mueller,Subject,Graph A
773,Wilhelm Meuller Scheld,Subject,Graph A
774,Wilhelm Meuller Scheld,Subject,Graph A
775,Wilhelm Meuller Scheld,Subject,Graph A
776,Wilhelm Meuller Scheld,Subject,Graph A
777,Muewes,Subject,Graph A
778,Muewes,Subject,Graph A
779,Muschal,Subject,Graph A
780,Muthmann,Subject,Graph A
781,Muthmann,Subject,Graph A
782,Muthmann,Subject,Graph A
783,Muthmann,Subject,Graph A
784,Muthmann,Subject,Graph A
785,Nadolle,Subject,Graph A
786,Nadolle,Subject,Graph A
787,Edward Neuffer,Subject,Graph A
788,Edward Neuffer,Subject,Graph A
789,Karl Anton Neugebauer,Subject,Graph A
790,Neidermeier,Subject,Graph A
791,Neidermeier,Subject,Graph A
792,Wener Noack,Subject,Graph A
793,Wener Noack,Subject,Graph A
794,Karl Anton Nowotny,Subject,Graph A
795,Karl Anton Nowotny,Subject,Graph A
796,Nuss,Subject,Graph A
797,Nuss,Subject,Graph A
798,Oberg,Subject,Graph A
799,Rudolf Oertel,Subject,Graph A
800,Rudolf Oertel,Subject,Graph A
801,Rudolf Oertel,Subject,Graph A
802,Offer,Subject,Graph A
803,Offer,Subject,Graph A
804,Georg Otto,Subject,Graph A
805,Georg Otto,Subject,Graph A
806,Paetow,Subject,Graph A
807,Paetow,Subject,Graph A
808,Paetow,Subject,Graph A
809,Wilhelm Ernst Palezieux,Subject,Graph A
810,Wilhelm Ernst Palezieux,Subject,Graph A
811,J Papritz,Subject,Graph A
812,Robert Pat Zaade,Subject,Graph A
813,Robert Pat Zaade,Subject,Graph A
814,Robert Pat Zaade,Subject,Graph A
815,Robert Pat Zaade,Subject,Graph A
816,Robert Pat Zaade,Subject,Graph A
817,Robert Pat Zaade,Subject,Graph A
818,Peter Paulsen,Subject,Graph A
819,Peter Paulsen,Subject,Graph A
820,Peter Paulsen,Subject,Graph A
821,Ernst Petersen,Subject,Graph A
822,Ernst Petersen,Subject,Graph A
823,Ernst Petersen,Subject,Graph A
824,Ernst Petersen,Subject,Graph A
825,Ernst Petersen,Subject,Graph A
826,Pevetz,Subject,Graph A
827,Pevetz,Subject,Graph A
828,Arthur Pfannstiel,Subject,Graph A
829,Arthur Pfannstiel,Subject,Graph A
830,Arthur Pfannstiel,Subject,Graph A
831,Arthur Pfannstiel,Subject,Graph A
832,Arthur Pfannstiel,Subject,Graph A
833,Arthur Pfannstiel,Subject,Graph A
834,Arthur Pfannstiel,Subject,Graph A
835,Carl Heinz Pfitzer,Subject,Graph A
836,Carl Heinz Pfitzer,Subject,Graph A
837,Wilhelm Pinder,Subject,Graph A
838,Wilhelm Pinder,Subject,Graph A
839,Wilhelm Pinder,Subject,Graph A
840,Leo Planiscig,Subject,Graph A
841,Leo Planiscig,Subject,Graph A
842,Leo Planiscig,Subject,Graph A
843,Leo Planiscig,Subject,Graph A
844,Eduard Eduard Plietzsch,Subject,Graph A
845,Eduard Eduard Plietzsch,Subject,Graph A
846,Eduard Eduard Plietzsch,Subject,Graph A
847,Eduard Eduard Plietzsch,Subject,Graph A
848,Eduard Eduard Plietzsch,Subject,Graph A
849,Eduard Eduard Plietzsch,Subject,Graph A
850,Eduard Eduard Plietzsch,Subject,Graph A
851,von Poellnitz,Subject,Graph A
852,von Poellnitz,Subject,Graph A
853,von Poellnitz,Subject,Graph A
854,von Poellnitz,Subject,Graph A
855,von Poellnitz,Subject,Graph A
856,von Poellnitz,Subject,Graph A
857,Frau von Pohl,Subject,Graph A
858,Frau von Pohl,Subject,Graph A
859,von Pohl,Subject,Graph A
860,von Pohl,Subject,Graph A
861,Max Pohl,Subject,Graph A
862,Max Pohl,Subject,Graph A
863,Karl Polhammer,Subject,Graph A
864,Karl Polhammer,Subject,Graph A
865,Karl Polhammer,Subject,Graph A
866,Pommerhanz,Subject,Graph A
867,Pommerhanz,Subject,Graph A
868,Pommerhanz,Subject,Graph A
869,Hans Posse,Subject,Graph A
870,Hans Posse,Subject,Graph A
871,Hans Posse,Subject,Graph A
872,Hans Posse,Subject,Graph A
873,Hans Posse,Subject,Graph A
874,Hans Posse,Subject,Graph A
875,Fritz Possenbacher,Subject,Graph A
876,Fritz Possenbacher,Subject,Graph A
877,Fritz Possenbacher,Subject,Graph A
878,Fritz Possenbacher,Subject,Graph A
879,Fritz Possenbacher,Subject,Graph A
880,Fritz Possenbacher,Subject,Graph A
881,Fritz Possenbacher,Subject,Graph A
882,Fritz Possenbacher,Subject,Graph A
883,Georg Pudelko,Subject,Graph A
884,Georg Pudelko,Subject,Graph A
885,Georg Pudelko,Subject,Graph A
886,Georg Pudelko,Subject,Graph A
887,Emil Puhl,Subject,Graph A
888,Emil Puhl,Subject,Graph A
889,Ilse Putz,Subject,Graph A
890,Ilse Putz,Subject,Graph A
891,Quantmeyer & Eicke,Subject,Graph A
892,Quantmeyer & Eicke,Subject,Graph A
893,Bernard Rademacher,Subject,Graph A
894,Bernard Rademacher,Subject,Graph A
895,Bernard Rademacher,Subject,Graph A
896,Bernard Rademacher,Subject,Graph A
897,Bernard Rademacher,Subject,Graph A
898,Bernard Rademacher,Subject,Graph A
899,Bernard Rademacher,Subject,Graph A
900,Werner Radig,Subject,Graph A
901,Werner Radig,Subject,Graph A
902,Rahls,Subject,Graph A
903,Rahls,Subject,Graph A
904,Erich Randt,Subject,Graph A
905,Erich Randt,Subject,Graph A
906,Gottleib Friedrich Reber,Subject,Graph A
907,Gottleib Friedrich Reber,Subject,Graph A
908,Gottleib Friedrich Reber,Subject,Graph A
909,Gottleib Friedrich Reber,Subject,Graph A
910,Hans Reger,Subject,Graph A
911,Hans Reger,Subject,Graph A
912,Walter Rehbock,Subject,Graph A
913,Walter Rehbock,Subject,Graph A
914,Walter Rehbock,Subject,Graph A
915,Walter Rehbock,Subject,Graph A
916,Walter Rehbock,Subject,Graph A
917,Reidemeister,Subject,Graph A
918,Reidemeister,Subject,Graph A
919,Gottfried Reimer,Subject,Graph A
920,Gottfried Reimer,Subject,Graph A
921,Gottfried Reimer,Subject,Graph A
922,Gottfried Reimer,Subject,Graph A
923,Hans Reinerth,Subject,Graph A
924,Hans Reinerth,Subject,Graph A
925,Hans Reinerth,Subject,Graph A
926,Hedwig Reinhardt,Subject,Graph A
927,Metz Reusch,Subject,Graph A
928,von Richthofen,Subject,Graph A
929,Oswald Rieckmann,Subject,Graph A
930,J Ringler,Subject,Graph A
931,J Ringler,Subject,Graph A
932,J Ringler,Subject,Graph A
933,J Ringler,Subject,Graph A
934,J Ringler,Subject,Graph A
935,Rissman,Subject,Graph A
936,Rissman,Subject,Graph A
937,Werner Rittich,Subject,Graph A
938,Werner Rittich,Subject,Graph A
939,Werner Rittich,Subject,Graph A
940,Gustav Rochlitz,Subject,Graph A
941,Gustav Rochlitz,Subject,Graph A
942,Gustav Rochlitz,Subject,Graph A
943,Gustav Rochlitz,Subject,Graph A
944,Gustav Rochlitz,Subject,Graph A
945,Gustav Rochlitz,Subject,Graph A
946,Gustav Rochlitz,Subject,Graph A
947,Gustav Rochlitz,Subject,Graph A
948,Gustav Rochlitz,Subject,Graph A
949,Roehlig,Subject,Graph A
950,Heinz Rudolf Rosemann,Subject,Graph A
951,Heinz Rudolf Rosemann,Subject,Graph A
952,Karl Rosner,Subject,Graph A
953,Karl Rosner,Subject,Graph A
954,Karl Rosner,Subject,Graph A
955,Karl Rosner,Subject,Graph A
956,Karl Rosner,Subject,Graph A
957,Werner Dietrich Rosskamp,Subject,Graph A
958,Werner Dietrich Rosskamp,Subject,Graph A
959,Werner Dietrich Rosskamp,Subject,Graph A
960,Hans Rudolph,Subject,Graph A
961,Hans Rudolph,Subject,Graph A
962,Hans Rudolph,Subject,Graph A
963,Herbert Rudolph,Subject,Graph A
964,Siegfried Ruehle,Subject,Graph A
965,Siegfried Ruehle,Subject,Graph A
966,Siegfried Ruehle,Subject,Graph A
967,Siegfried Ruehle,Subject,Graph A
968,von der Rupp,Subject,Graph A
969,Leopold Ruprecht,Subject,Graph A
970,Leopold Ruprecht,Subject,Graph A
971,Rudolph Ruscheweyh,Subject,Graph A
972,Gerhard Sarpok,Subject,Graph A
973,Gerhard Sarpok,Subject,Graph A
974,Hans Martin Hans Martin Sauermann,Subject,Graph A
975,Hans Martin Hans Martin Sauermann,Subject,Graph A
976,Hans Martin Hans Martin Sauermann,Subject,Graph A
977,Hans Martin Hans Martin Sauermann,Subject,Graph A
978,Hans Martin Hans Martin Sauermann,Subject,Graph A
979,Prince  Ferdinand of Sayn-Wittgenstein,Subject,Graph A
980,Prince  Ferdinand of Sayn-Wittgenstein,Subject,Graph A
981,Prince  Ferdinand of Sayn-Wittgenstein,Subject,Graph A
982,Prince  Ferdinand of Sayn-Wittgenstein,Subject,Graph A
983,Schacher,Subject,Graph A
984,Schahe,Subject,Graph A
985,Schedelmann,Subject,Graph A
986,Schedelmann,Subject,Graph A
987,Schedelmann,Subject,Graph A
988,Schedelmann,Subject,Graph A
989,Scheibert,Subject,Graph A
990,Scheibert,Subject,Graph A
991,Scheibert,Subject,Graph A
992,Jakob Schweidwimmer,Subject,Graph A
993,Jakob Schweidwimmer,Subject,Graph A
994,Karl Schellenberg,Subject,Graph A
995,Karl Schellenberg,Subject,Graph A
996,Schemmel,Subject,Graph A
997,Schenker & Co.,Subject,Graph A
998,Kurt Schertel von Burtenbach,Subject,Graph A
999,Kurt Schertel von Burtenbach,Subject,Graph A
1000,Kurt Schertel von Burtenbach,Subject,Graph A
1001,Schieder,Subject,Graph A
1002,Schieder,Subject,Graph A
1003,Schieder,Subject,Graph A
1004,Guenther Schiedlausky,Subject,Graph A
1005,Guenther Schiedlausky,Subject,Graph A
1006,Hubert Schiel,Subject,Graph A
1007,Schielle,Subject,Graph A
1008,Schielle,Subject,Graph A
1009,Georg Schilling,Subject,Graph A
1010,Georg Schilling,Subject,Graph A
1011,Georg Schilling,Subject,Graph A
1012,Georg Schilling,Subject,Graph A
1013,Georg Schilling,Subject,Graph A
1014,Schinnerer,Subject,Graph A
1015,Schinnerer,Subject,Graph A
1016,Schinnerer,Subject,Graph A
1017,Schirmer,Subject,Graph A
1018,Gottfried Schlag,Subject,Graph A
1019,Gottfried Schlag,Subject,Graph A
1020,Gottfried Schlag,Subject,Graph A
1021,Schlegel,Subject,Graph A
1022,Schlegel,Subject,Graph A
1023,Schleier,Subject,Graph A
1024,Schleier,Subject,Graph A
1025,Wilhelm Schleiermacher,Subject,Graph A
1026,Ernst Schmidt ,Subject,Graph A
1027,Ernst Schmidt ,Subject,Graph A
1028,Fritz Schmidt,Subject,Graph A
1029,Fritz Schmidt,Subject,Graph A
1030,Fritz Schmidt,Subject,Graph A
1031,Fritz Schmidt,Subject,Graph A
1032,Fritz Schmidt,Subject,Graph A
1033,Karl Schmidt,Subject,Graph A
1034,Karl Schmidt,Subject,Graph A
1035,Karl Schmidt,Subject,Graph A
1036,Karl Schmidt,Subject,Graph A
1037,Karl Schmidt,Subject,Graph A
1038,Marietta Schmidt,Subject,Graph A
1039,Marietta Schmidt,Subject,Graph A
1040,Robert Schmidt,Subject,Graph A
1041,Robert Schmidt,Subject,Graph A
1042,Robert Schmidt,Subject,Graph A
1043,Albert Schmidt Staehler,Subject,Graph A
1044,Albert Schmidt Staehler,Subject,Graph A
1045,Albert Schmidt Staehler,Subject,Graph A
1046,Georg Schnath,Subject,Graph A
1047,Ludwig Schnorr von Carolsfeld,Subject,Graph A
1048,Ludwig Schnorr von Carolsfeld,Subject,Graph A
1049,Hans Ulrich von Schoenebeck,Subject,Graph A
1050,Johanna Scholz,Subject,Graph A
1051,Johanna Scholz,Subject,Graph A
1052,Johanna Scholz,Subject,Graph A
1053,Robert Scholz,Subject,Graph A
1054,Robert Scholz,Subject,Graph A
1055,Robert Scholz,Subject,Graph A
1056,Rudolf Scholz,Subject,Graph A
1057,Rudolf Scholz,Subject,Graph A
1058,Rudolf Scholz,Subject,Graph A
1059,Ursula Scholz,Subject,Graph A
1060,Ursula Scholz,Subject,Graph A
1061,Ursula Scholz,Subject,Graph A
1062,Vicki Scholz,Subject,Graph A
1063,Hans Schrade,Subject,Graph A
1064,Hans Schrade,Subject,Graph A
1065,Schrepel,Subject,Graph A
1066,Albert Schroder,Subject,Graph A
1067,Albert Schroder,Subject,Graph A
1068,Hans Friedrich Schroeder,Subject,Graph A
1069,Schrotter,Subject,Graph A
1070,Schrotter,Subject,Graph A
1071,Franz Schubert,Subject,Graph A
1072,Franz Schubert,Subject,Graph A
1073,Schuhmann,Subject,Graph A
1074,Richard Schultz,Subject,Graph A
1075,Richard Schultz,Subject,Graph A
1076,Richard Schultz,Subject,Graph A
1077,Schultze,Subject,Graph A
1078,Schultze,Subject,Graph A
1079,Schwartz,Subject,Graph A
1080,Schwartz,Subject,Graph A
1081,Schweide,Subject,Graph A
1082,Hans Schweitzer,Subject,Graph A
1083,Hans Schweitzer,Subject,Graph A
1084,Walter Schwinkowski,Subject,Graph A
1085,Seiberl,Subject,Graph A
1086,Seiberl,Subject,Graph A
1087,Karl Seider,Subject,Graph A
1088,Karl Seider,Subject,Graph A
1089,Karl Seider,Subject,Graph A
1090,Heinz Simokat,Subject,Graph A
1091,Georg Soheja,Subject,Graph A
1092,Georg Soheja,Subject,Graph A
1093,Speidel,Subject,Graph A
1094,Speidel,Subject,Graph A
1095,Ernst Sprockhoff,Subject,Graph A
1096,Staffeldt,Subject,Graph A
1097,Staffeldt,Subject,Graph A
1098,Staffeldt,Subject,Graph A
1099,Rudolph Stampfuss,Subject,Graph A
1100,Alfred Stange,Subject,Graph A
1101,Alfred Stange,Subject,Graph A
1102,Alfred Stange,Subject,Graph A
1103,Alfred Stange,Subject,Graph A
1104,Alfred Stange,Subject,Graph A
1105,Alfred Stange,Subject,Graph A
1106,Alfred Stange,Subject,Graph A
1107,Alfred Stange,Subject,Graph A
1108,Alfred Stange,Subject,Graph A
1109,Stelzer,Subject,Graph A
1110,Stoehr,Subject,Graph A
1111,Stoehr,Subject,Graph A
1112,Stoehr,Subject,Graph A
1113,Albert Straus Negbauer,Subject,Graph A
1114,Albert Straus Negbauer,Subject,Graph A
1115,Albert Straus Negbauer,Subject,Graph A
1116,Strenger,Subject,Graph A
1117,Strenger,Subject,Graph A
1118,Wolf Stubbe,Subject,Graph A
1119,Erna Stuebner,Subject,Graph A
1120,Teske,Subject,Graph A
1121,Teske,Subject,Graph A
1122,Teske,Subject,Graph A
1123,Teske,Subject,Graph A
1124,Teske,Subject,Graph A
1125,Bruno Thomas,Subject,Graph A
1126,Bruno Thomas,Subject,Graph A
1127,Josef Thorak,Subject,Graph A
1128,Josef Thorak,Subject,Graph A
1129,Bernhard von Tieschowitz,Subject,Graph A
1130,Bernhard von Tieschowitz,Subject,Graph A
1131,Tintelnot,Subject,Graph A
1132,Tintelnot,Subject,Graph A
1133,Tost,Subject,Graph A
1134,Tost,Subject,Graph A
1135,Tost,Subject,Graph A
1136,Troost,Subject,Graph A
1137,Troost,Subject,Graph A
1138,Troost,Subject,Graph A
1139,Troost,Subject,Graph A
1140,Asmus von Troschke,Subject,Graph A
1141,Asmus von Troschke,Subject,Graph A
1142,Asmus von Troschke,Subject,Graph A
1143,Harold Turner,Subject,Graph A
1144,Harold Turner,Subject,Graph A
1145,Harold Turner,Subject,Graph A
1146,Harold Turner,Subject,Graph A
1147,Harold Turner,Subject,Graph A
1148,Harold Turner,Subject,Graph A
1149,Uhlworm,Subject,Graph A
1150,Uhlworm,Subject,Graph A
1151,Uhlworm,Subject,Graph A
1152,Unger,Subject,Graph A
1153,Unger,Subject,Graph A
1154,Alfred Unger,Subject,Graph A
1155,Alfred Unger,Subject,Graph A
1156,Wilhelm Hermann Unverzagt,Subject,Graph A
1157,Wilhelm Hermann Unverzagt,Subject,Graph A
1158,Gotthard Cornelius Karl Urban,Subject,Graph A
1159,Gerhard Utikal,Subject,Graph A
1160,Gerhard Utikal,Subject,Graph A
1161,F C Valentin,Subject,Graph A
1162,F C Valentin,Subject,Graph A
1163,F C Valentin,Subject,Graph A
1164,F C Valentin,Subject,Graph A
1165,F C Valentin,Subject,Graph A
1166,von Veltheim,Subject,Graph A
1167,von Veltheim,Subject,Graph A
1168,von Veltheim,Subject,Graph A
1169,Vieweg,Subject,Graph A
1170,Vogel,Subject,Graph A
1171,Wolfgang Fritz Vollbach,Subject,Graph A
1172,Wolfgang Fritz Vollbach,Subject,Graph A
1173,Wolfgang Fritz Vollbach,Subject,Graph A
1174,Bernhard Vollmer,Subject,Graph A
1175,Hermann Hermann Voss,Subject,Graph A
1176,Hermann Hermann Voss,Subject,Graph A
1177,Hermann Hermann Voss,Subject,Graph A
1178,Hermann Hermann Voss,Subject,Graph A
1179,Hermann Hermann Voss,Subject,Graph A
1180,Hermann Hermann Voss,Subject,Graph A
1181,Hermann Hermann Voss,Subject,Graph A
1182,J Waechter,Subject,Graph A
1183,J Waechter,Subject,Graph A
1184,J Waechter,Subject,Graph A
1185,J Waechter,Subject,Graph A
1186,Wilhelm Waetzold,Subject,Graph A
1187,Wilhelm Waetzold,Subject,Graph A
1188,Wilhelm Waetzold,Subject,Graph A
1189,Karl Heinrich Friedrich Wagner,Subject,Graph A
1190,Josef Waldner,Subject,Graph A
1191,Josef Waldner,Subject,Graph A
1192,Josef Waldner,Subject,Graph A
1193,Josef Waldner,Subject,Graph A
1194,von Waldthausen,Subject,Graph A
1195,Waldum,Subject,Graph A
1196,Waldum,Subject,Graph A
1197,Waldum,Subject,Graph A
1198,Werner Walther,Subject,Graph A
1199,Werner Walther,Subject,Graph A
1200,Wankerl,Subject,Graph A
1201,Wankerl,Subject,Graph A
1202,Kogl Weber,Subject,Graph A
1203,Kogl Weber,Subject,Graph A
1204,Kogl Weber,Subject,Graph A
1205,Walter Weber,Subject,Graph A
1206,Walter Weber,Subject,Graph A
1207,Walter Weber,Subject,Graph A
1208,Hans Wegener,Subject,Graph A
1209,Hermann Weidhaas,Subject,Graph A
1210,Edmund Weigand,Subject,Graph A
1211,Adolf Weinmueller,Subject,Graph A
1212,Adolf Weinmueller,Subject,Graph A
1213,Adolf Weinmueller,Subject,Graph A
1214,Friedrich Welz,Subject,Graph A
1215,Friedrich Welz,Subject,Graph A
1216,Otto Welter,Subject,Graph A
1217,von Werden,Subject,Graph A
1218,Joachim Werner,Subject,Graph A
1219,Joachim Werner,Subject,Graph A
1220,Jane Weyll,Subject,Graph A
1221,Jane Weyll,Subject,Graph A
1222,Jane Weyll,Subject,Graph A
1223,Jane Weyll,Subject,Graph A
1224,Wilhelm Wickel,Subject,Graph A
1225,Wilhelm Wickel,Subject,Graph A
1226,Wilhelm Wickel,Subject,Graph A
1227,Hans Wiederhold,Subject,Graph A
1228,Hans Wiederhold,Subject,Graph A
1229,Franz Wieser,Subject,Graph A
1230,Franz Wieser,Subject,Graph A
1231,Georg Winter,Subject,Graph A
1232,Georg Winter,Subject,Graph A
1233,Hans Ulrich Wirth,Subject,Graph A
1234,Hans Ulrich Wirth,Subject,Graph A
1235,Hans Ulrich Wirth,Subject,Graph A
1236,Hans Ulrich Wirth,Subject,Graph A
1237,Hans Ulrich Wirth,Subject,Graph A
1238,Woehlermann,Subject,Graph A
1239,Woehlermann,Subject,Graph A
1240,Woehlermann,Subject,Graph A
1241,Woehlermann,Subject,Graph A
1242,Woehlermann,Subject,Graph A
1243,Peter Woernike,Subject,Graph A
1244,Wohlrabe,Subject,Graph A
1245,Gerhard Wolf,Subject,Graph A
1246,Gerhard Wolf,Subject,Graph A
1247,Wolff,Subject,Graph A
1248,Karl Wolff,Subject,Graph A
1249,Karl Wolff,Subject,Graph A
1250,Friedrich Wolffhard,Subject,Graph A
1251,Friedrich Wolffhard,Subject,Graph A
1252,Friedrich Wolffhard,Subject,Graph A
1253,Kurt Wordelman,Subject,Graph A
1254,Kurt Wordelman,Subject,Graph A
1255,Worma,Subject,Graph A
1256,Walther Wrede,Subject,Graph A
1257,Walther Wrede,Subject,Graph A
1258,Adolf Wuester,Subject,Graph A
1259,Adolf Wuester,Subject,Graph A
1260,Adolf Wuester,Subject,Graph A
1261,Adolf Wuester,Subject,Graph A
1262,Adolf Wuester,Subject,Graph A
1263,Adolf Wuester,Subject,Graph A
1264,Adolf Wuester,Subject,Graph A
1265,Adolf Wuester,Subject,Graph A
1266,Adolf Wuester,Subject,Graph A
1267,Adolf Wuester,Subject,Graph A
1268,Adolf Wuester,Subject,Graph A
1269,Adolf Wuester,Subject,Graph A
1270,Adolf Wuester,Subject,Graph A
1271,Adolf Wuester,Subject,Graph A
1272,Adolf Wuester,Subject,Graph A
1273,Adolf Wuester,Subject,Graph A
1274,Adolf Wuester,Subject,Graph A
1275,Adolf Wuester,Subject,Graph A
1276,Adolf Wuester,Subject,Graph A
1277,Adolf Wuester,Subject,Graph A
1278,Adolf Wuester,Subject,Graph A
1279,Adolf Wuester,Subject,Graph A
1280,Adolf Wuester,Subject,Graph A
1281,Adolf Wuester,Subject,Graph A
1282,Adolf Wuester,Subject,Graph A
1283,Adolf Wuester,Subject,Graph A
1284,Adolf Wuester,Subject,Graph A
1285,Adolf Wuester,Subject,Graph A
1286,Robert Zahn,Subject,Graph A
1287,Emil Zaunkeller,Subject,Graph A
1288,Emil Zaunkeller,Subject,Graph A
1289,Zeichel,Subject,Graph A
1290,Zeichel,Subject,Graph A
1291,Zeiler,Subject,Graph A
1292,Zeiler,Subject,Graph A
1293,Zeiler,Subject,Graph A
1294,Zeiss,Subject,Graph A
1295,Zeiss,Subject,Graph A
1296,Adolf Ziegler,Subject,Graph A
1297,Zimmermann,Subject,Graph A
1298,Ernst Heinrich Zimmermann,Subject,Graph A
1299,Ernst Heinrich Zimmermann,Subject,Graph A
1300,Francis Xavier Zimmermann,Subject,Graph A
1301,Francis Xavier Zimmermann,Subject,Graph A
1302,Zinckgraf,Subject,Graph A
1303,Zinckgraf,Subject,Graph A
1304,Zinckgraf,Subject,Graph A
1305,Zinckgraf,Subject,Graph A
1306,Zischow,Subject,Graph A
1307,Zobel,Subject,Graph A
1308,Zobel,Subject,Graph A
1309,Zobel,Subject,Graph A
1310,Zobel,Subject,Graph A
1311,Zobel,Subject,Graph A
1312,Zopp,Subject,Graph A
1313,Zopp,,Graph A
1314,Madonna and Child,Subject,Graph B
1315,Still-Life,Subject,Graph B
1316,Marcus place Venice,Subject,Graph B
1317,Marcus place Venice,Subject,Graph B
1318,Dancing around the golden calf,Subject,Graph B
1319,Dancing around the golden calf,Subject,Graph B
1320,Dancing around the golden calf,Subject,Graph B
1321,Portrait of princess Christine of Denmark,Subject,Graph B
1322,Portrait of princess Christine of Denmark,Subject,Graph B
1323,Mary with child and founder,Subject,Graph B
1324,Mary with child and founder,Subject,Graph B
1325,Figure of a pilgrim,Subject,Graph B
1326,Figure of a pilgrim,Subject,Graph B
1327,Madonna and child on Throne,Subject,Graph B
1328,Madonna and child on Throne,Subject,Graph B
1329,Madonna and child on Throne,Subject,Graph B
1330,Madonna and child on Throne,Subject,Graph B
1331,Saint Sebastian,Subject,Graph B
1332,Saint Sebastian,Subject,Graph B
1333,Tryptichon,Subject,Graph B
1334,Tryptichon,Subject,Graph B
1335,Tryptichon,Subject,Graph B
1336,Tryptichon,Subject,Graph B
1337,Madonna with child,Subject,Graph B
1338,Adoration of the child,Subject,Graph B
1339,Adoration of the child,Subject,Graph B
1340,Venus and putti,Subject,Graph B
1341,Venus and putti,Subject,Graph B
1342,Madonna and child,Subject,Graph B
1343,Madonna and child,Subject,Graph B
1344,Madonna and child,Subject,Graph B
1345,Madonna and child,Subject,Graph B
1346,Mary with child,Subject,Graph B
1347,Mary with child,Subject,Graph B
1348,Mary with child,Subject,Graph B
1349,Portrait of a man,Subject,Graph B
1350,Portrait of a man,Subject,Graph B
1351,Portrait of a man,Subject,Graph B
1352,Adoration of Christ,Subject,Graph B
1353,Adoration of Christ,Subject,Graph B
1354,Sailingboat,Subject,Graph B
1355,Landscape with lake,Subject,Graph B
1356,Landscape with lake,Subject,Graph B
1357,Portrait of a girl,Subject,Graph B
1358,Portrait of a girl,Subject,Graph B
1359,Couple practicing music,Subject,Graph B
1360,Couple practicing music,Subject,Graph B
1361,Landscape with a cow,Subject,Graph B
1362,Landscape with a cow,Subject,Graph B
1363,Still-life with fruit,Subject,Graph B
1364,Still-life with fruit,Subject,Graph B
1365,Still-life with fruit,Subject,Graph B
1366,Madonna with child and St. John,Subject,Graph B
1367,Satyr Diana and followers,Subject,Graph B
1368,Musicians,Subject,Graph B
1369,University of Berlin library,Object,Graph A
1370,Hauptverwaltung der Bibliotheken in Cracow,Object,Graph A
1371,from Polish libraries,Object,Graph A
1372,dealer,Object,Graph A
1373,Paris,Object,Graph A
1374,Adolf Wuester,Object,Graph A
1375,Ambassador to France,Object,Graph A
1376,early seizures of Jewish art collections,Object,Graph A
1377,Kunsberg organization,Object,Graph A
1378,Kunsthistorisches Museum,Object,Graph A
